ley,camara,votacion_id_comovoto,acta_oficial,fecha,fuente,legislador,coalicion,coalicion_nombre,voto
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","ABAD, MAXIMILIANO","ucr","UCR / ARI","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","ABDALA, BARTOLOME ESTEBAN","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","ALMEIDA, ROMINA MARIA","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","ALVAREZ RIVERO, CARMEN","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","ARCE, CARLOS OMAR","pj","PJ / Union por la Patria","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","ARRASCAETA, IVANNA MARCELA","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","ATAUCHE, EZEQUIEL","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","AVILA, BEATRIZ LUISA","oth","Otros","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","BEDIA, VILMA FACUNDA","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","BENEGAS LYNCH, JOAQUIN ALBERTO","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","BULLRICH, PATRICIA","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","CARAMBIA, JOSE MARIA","oth","Otros","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","CERVI, MARIO PABLO","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","CORROZA, JULIETA","oth","Otros","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","COTO, AGUSTIN PEDRO","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","CRISTINA, ANDREA MARCELA","pro","JxC / PRO / UCR","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","ESPINOLA, CARLOS MAURICIO","oth","Otros","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","FAMA, FLAVIO SERGIO","ucr","UCR / ARI","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","FULLONE, ENZO PAOLO","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","GADANO, NATALIA ELENA","oth","Otros","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","GALARETTO, EDUARDO HORACIO","ucr","UCR / ARI","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","GODOY, JUAN CRUZ","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","GOERLING LARA, ENRIQUE MARTIN","pro","JxC / PRO / UCR","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","GUZMAN CORAITA, GONZALO","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","HUALA, MARIA VICTORIA","pro","JxC / PRO / UCR","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","JUEZ, LUIS ALFREDO","lla","LLA","AFIRMATIVO"
"Inocencia Fiscal","senadores","5465","2622","26/12/2025 - 23:15","https://www.senado.gob.ar/votaciones/detalleActa/2622","JURI, MARIANA","ucr","UCR / ARI","AFIRMATIVO"
